Nombre_Modelo,timestamp,PROCESO,METRICA,VALOR,Comentario
RandomForestClassifier,2026-03-17 22:53:01,TRAIN,Accuracy,0.877,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TRAIN,Precision,0.574,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TRAIN,Recall,0.861,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TRAIN,F1,0.689,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TRAIN,ROC_AUC,0.945,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TEST,Accuracy,0.874,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TEST,Precision,0.564,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TEST,Recall,0.854,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TEST,F1,0.679,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,TEST,ROC_AUC,0.941,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,VALIDACION,Accuracy,0.864,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,VALIDACION,Precision,0.481,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,VALIDACION,Recall,0.825,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,VALIDACION,F1,0.608,"{'max_depth': 15, 'min_samples_leaf': 20}"
RandomForestClassifier,2026-03-17 22:53:01,VALIDACION,ROC_AUC,0.925,"{'max_depth': 15, 'min_samples_leaf': 20}"
